Nome do medicamento;Dosagem
Alkimus;10 mg
Alkimus;10 mg
Alkimus;5 mg
Alkimus;5 mg
Aricept;5 mg
Aricept;10 mg
Aricept;10 mg
Aricept;5 mg
Aricept;5 mg
Axura;5 mg/0.5 ml
Axura;5 mg/0.5 ml
Axura;(5 mg)+(10 mg)+(15 mg)+(20 mg)
Axura;10 mg
Axura;10 mg
Axura;20 mg
Donepezilo Alter Genéricos;10 mg
Donepezilo Alter Genéricos;10 mg
Donepezilo Alter Genéricos;5 mg
Donepezilo Alter Genéricos;5 mg
Donepezilo Aurovitas;10 mg
Donepezilo Aurovitas;10 mg
Donepezilo Aurovitas;5 mg
Donepezilo Aurovitas;5 mg
Donepezilo Aurovitas;10 mg
Donepezilo Aurovitas;5 mg
Donepezilo Aurovitas;5 mg
Donepezilo Azevedos;10 mg
Donepezilo Azevedos;5 mg
Donepezilo Bluefish;10 mg
Donepezilo Bluefish;10 mg
Donepezilo Bluefish;5 mg
Donepezilo Bluefish;5 mg
Donepezilo Bluepharma;10 mg
Donepezilo Bluepharma;5 mg
Donepezilo Bluepharma;5 mg
Donepezilo Ciclum;10 mg
Donepezilo Ciclum;10 mg
Donepezilo Ciclum;5 mg
Donepezilo Ciclum;5 mg
Donepezilo Farmoz;10 mg
Donepezilo Farmoz;10 mg
Donepezilo Farmoz;5 mg
Donepezilo Farmoz;5 mg
Donepezilo Fixime;10 mg
Donepezilo Fixime;10 mg
Donepezilo Fixime;5 mg
Donepezilo Fixime;5 mg
Donepezilo Genedec;10 mg
Donepezilo Genedec;5 mg
Donepezilo Genedec;5 mg
Donepezilo Generis;10 mg
Donepezilo Generis;10 mg
Donepezilo Generis;5 mg
Donepezilo Generis;5 mg
Donepezilo Germed;10 mg
Donepezilo Germed;10 mg
Donepezilo Germed;5 mg
Donepezilo Germed;5 mg
Donepezilo GP;10 mg
Donepezilo GP;10 mg
Donepezilo GP;5 mg
Donepezilo GP;5 mg
Donepezilo Jaba;10 mg
Donepezilo Jaba;10 mg
Donepezilo Jaba;5 mg
